rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
1.17,328,181.36,3200,0.9428023999999995,60208,18,0.0033242187928408384,1275,0.0005
1.15,332,180.75,3190,0.9419132000000003,61144,19,0.14930881559848785,1392,0.0005
1.22,336,183.72,3180,0.9412064000000001,61888,19,0.021908840164542198,1485,0.0005
1.23,340,184.58,3173,0.9404692,62664,19,0.001392429112456739,1582,0.0005
1.25,344,185.24,3165,0.9396939999999998,63480,20,0.005277781747281551,1684,0.0005
1.29,348,186.98,3159,0.9391771999999997,64024,20,0.3697985112667084,1752,0.0005
1.21,352,183.72,3152,0.9384704000000005,64768,20,0.19609780609607697,1845,0.0005
1.19,356,183.13,3144,0.9375052000000001,65784,20,0.01730543188750744,1972,0.0005
1.14,360,181.24,3137,0.9369351999999996,66384,21,0.006091455463320017,2047,0.0005
1.14,364,181.01,3131,0.9361904000000003,67168,21,0.0058869896456599236,2145,0.0005
1.14,368,180.32,3126,0.9358331999999996,67544,21,0.0019450709223747253,2192,0.0005
1.15,372,180.66,3113,0.9345943999999998,68848,22,0.0014584333403035998,2355,0.0005
1.17,376,181.51,3109,0.9342295999999999,69232,22,0.0011615469120442867,2403,0.0005
1.21,380,183.03,3103,0.9336216000000003,69872,22,0.014865505509078503,2483,0.0005
1.24,384,184.42,3091,0.9326107999999997,70936,22,0.006426026113331318,2616,0.0005
1.22,388,183.69,3086,0.9322612000000001,71304,23,0.003100423142313957,2662,0.0005
1.21,392,183.21,3080,0.9315696000000003,72032,23,0.00489113200455904,2753,0.0005
1.23,396,184.36,3074,0.9305131999999995,73144,23,0.008900376968085766,2892,0.0005
1.31,400,187.44,3070,0.9300115999999998,73672,23,0.01269437000155449,2958,0.0005
1.25,404,185.45,3066,0.9292972000000004,74424,24,0.011709831655025482,3052,0.0005
1.24,408,185.5,3061,0.9284536000000003,75312,24,0.008423703722655773,3163,0.0005
1.27,412,186.68,3056,0.9276860000000005,76120,24,0.0011823097011074424,3264,0.0005
1.31,416,188.74,3051,0.9270856000000001,76752,25,0.0021435217931866646,3343,0.0005
1.33,420,189.37,3045,0.9261203999999997,77768,25,0.0015279019717127085,3470,0.0005
1.33,424,189.52,3041,0.9256264000000003,78288,25,0.007874753326177597,3535,0.0005
1.33,428,189.33,3036,0.9247979999999997,79160,26,0.0032150878105312586,3644,0.0005
1.34,432,189.08,3031,0.9241367999999996,79856,26,0.0016955415485426784,3731,0.0005
1.29,436,186.9,3028,0.9235972,80424,26,0.002564391354098916,3802,0.0005
1.3,440,186.96,3020,0.9226699999999997,81400,26,0.0013089802814647555,3924,0.0005
1.33,444,187.76,3016,0.9221076000000004,81992,27,0.00601935014128685,3998,0.0005
1.32,448,186.99,3010,0.9210511999999995,83104,27,0.010009818710386753,4137,0.0005
1.35,452,188.58,3007,0.9206788000000004,83496,27,0.0019740727730095387,4186,0.0005
1.32,456,187.01,3003,0.9197743999999998,84448,28,0.07582646608352661,4305,0.0005
1.36,460,188.61,3000,0.9190144,85248,28,0.00193317630328238,4405,0.0005
1.31,464,186.71,2997,0.9186192000000003,85664,28,0.1831858903169632,4457,0.0005
1.33,468,187.49,2994,0.9178896000000004,86432,28,0.16730505228042603,4553,0.0005
1.29,472,186.25,2990,0.9172664000000004,87088,29,0.011715519241988659,4635,0.0005
1.28,476,185.87,2986,0.9166507999999995,87736,29,0.0012801922857761383,4716,0.0005
1.23,480,184.12,2984,0.9159516000000005,88472,29,0.01053911354392767,4808,0.0005
1.24,484,184.15,2980,0.9151839999999996,89280,29,0.0009798326063901186,4909,0.0005
1.25,488,184.09,2978,0.9148344,89648,30,0.002651586662977934,4955,0.0005
1.22,492,182.82,2975,0.9141959999999996,90320,30,0.003378975437954068,5039,0.0005
1.2,496,182.01,2972,0.9135803999999998,90968,30,0.11578845232725143,5120,0.0005
1.19,500,181.53,2968,0.9127064,91888,30,0.0030792844481766224,5235,0.0005
1.2,504,181.84,2964,0.9118400000000004,92800,31,0.16235776245594025,5349,0.0005
1.2,508,181.42,2962,0.9115816000000003,93072,31,0.006326241884380579,5383,0.0005
1.17,512,179.96,2959,0.9107304000000002,93968,31,0.0024598001036792994,5495,0.0005
1.11,516,177.17,2957,0.9103807999999995,94336,31,0.15774041414260864,5541,0.0005
1.09,520,176.05,2953,0.9095827999999999,95176,32,0.000772075611166656,5646,0.0005
1.07,524,175.29,2951,0.9089672000000001,95824,32,0.0005854402552358806,5727,0.0005
1.08,528,175.87,2949,0.9081996000000002,96632,32,0.0005673396517522633,5828,0.0005
1.04,532,175.0,2943,0.9078652,96984,32,0.004564863163977861,5872,0.0005
1.01,536,173.8,2939,0.9068544000000005,98048,33,0.003947633318603039,6005,0.0005
0.99,540,172.64,2937,0.9065275999999995,98392,33,0.007098912727087736,6048,0.0005
0.95,544,171.35,2935,0.9056384000000004,99328,33,0.002312523080036044,6165,0.0005
0.94,548,170.83,2933,0.9051900000000002,99800,34,0.009935532696545124,6224,0.0005
0.94,552,170.38,2930,0.9042551999999996,100784,34,0.001525420811958611,6347,0.0005
0.96,556,171.35,2928,0.9039967999999996,101056,34,0.0019049975089728832,6381,0.0005
0.91,560,169.1,2924,0.9027732000000002,102344,34,0.00221995054744184,6542,0.0005
0.93,564,169.8,2923,0.9023324000000001,102808,35,0.0020626215264201164,6600,0.0005
0.92,568,169.75,2920,0.9014508000000001,103736,35,0.009180276654660702,6716,0.0005
0.98,572,172.38,2918,0.9010480000000002,104160,35,0.0075203729793429375,6769,0.0005
1.01,576,173.36,2916,0.9000600000000003,105200,36,0.0008193491958081722,6899,0.0005
1.05,580,174.63,2914,0.8994292,105864,36,0.004566837567836046,6982,0.0005
1.05,584,174.41,2910,0.8988363999999999,106488,36,0.007989367470145226,7060,0.0005
1.11,588,176.83,2907,0.8977876000000004,107592,36,0.000987481907941401,7198,0.0005
1.16,592,178.63,2906,0.8971720000000005,108240,37,0.09108281135559082,7279,0.0005
1.21,596,180.41,2904,0.8960928000000001,109376,37,0.005623949225991964,7421,0.0005
1.22,600,180.8,2902,0.8953328000000004,110176,37,0.005156324245035648,7521,0.0005
1.24,604,181.49,2900,0.8948920000000004,110640,38,0.009643550962209702,7579,0.0005
1.26,608,182.12,2896,0.8941319999999996,111440,38,0.0004650056944228709,7679,0.0005
1.24,612,181.72,2894,0.8934936000000002,112112,38,0.004988433327525854,7763,0.0005
1.27,616,182.67,2891,0.8926956000000005,112952,39,0.004484264180064201,7868,0.0005
1.26,620,183.03,2889,0.8921712000000002,113504,39,0.006014520768076181,7937,0.0005
1.3,624,183.86,2886,0.8912896000000001,114432,39,0.03917517885565758,8053,0.0005
1.29,628,183.33,2885,0.8910084000000005,114728,39,0.0036521106958389282,8090,0.0005
1.32,632,184.19,2882,0.8898759999999996,115920,40,0.003418067004531622,8239,0.0005
1.36,636,185.27,2881,0.8895795999999995,116232,40,0.0011506513692438602,8278,0.0005
1.35,640,184.62,2876,0.8885384000000001,117328,40,0.00225234217941761,8415,0.0005
1.4,644,186.84,2874,0.8881279999999999,117760,40,0.1272592842578888,8469,0.0005
1.36,648,185.54,2872,0.8875048,118416,41,0.005880188662558794,8551,0.0005
1.36,652,185.75,2871,0.8866839999999996,119280,41,0.06866594403982162,8659,0.0005
1.34,656,184.47,2869,0.8861443999999998,119848,41,0.0006502928445115685,8730,0.0005
